Model,Q1,Q2a,Q2b,Q2c,Q4,Q5,Q6,Q7
A1,35.1,250.7,25.1,18.4,4.0,24.5,20.2,60.2
A2,17.8,17.0,32.4,20.9,5.5,24.5,46.6,39.5
A3,19.1,19.9,19.9,26.1,9.0,26.7,21.2,25.9
A4,20.3,23.2,26.5,22.6,7.2,24.6,24.2,30.6
A5,122.2,33.4,49.1,69.1,52.0,63.3,50.6,190.3
A6,2370.8,299.1,256.7,260.8,1750.9,2052.6,480.2,598.3
A7,12491.6,21426.8,12208.5,13170.5,19182.6,32049.2,12809.5,8062.4
